,phrase,frequency
1166,伤心,186
1167,越来越,428
1168,精神,485
1169,气质,47
1170,四分之一,28
1171,芬兰,3
1172,爱德菲尔特,1
1173,血统,54
1174,四分之三,10
1175,亚洲,23
1176,别人,1502
1177,阵外,1
1178,面念,1
1179,咒语,40
1180,大小,95
1181,姐站,2
1182,中间,200
1183,难怪,149
1184,保姆,27
1185,发挥,170
1186,奇效,9
1187,楼梯,84
1188,奔跑,139
1189,剧情,1033
1190,衔接,58
1191,所向,6
1192,闪避,128
1193,重置版,4
1194,环抱,1
1195,好歹,112
1196,最后,114
1197,拖鞋,37
1198,随后,19
1199,脚出,1
1200,感谢,5749
1201,歌词,177
1202,字幕,187
1203,搜刮,4
1204,回路,150
1205,电路板,14
1206,鲜鲜,1
1207,血血,5
1208,擅长,300
1209,好奇,416
1210,卫生,49
1211,awsl,1480
1212,凛学,1
1213,成功,113
1214,师神器,1
1215,翘课,7
1216,理由,458
1217,大学,3
1218,常用,16
1219,预告,51
1220,背景,338
1221,川澄,8
1222,TAT,40
1223,赞哭,2
1224,正确,181
1225,不行,1225
1226,好久,180
1227,听到,534
1228,Nori,1
1229,QA,108
1230,九点多,1
1231,上学,4
1232,啊啊,1108
1233,期待,775
1234,第0,25
1235,比浦饭,1
1236,幽助,4
1237,厉害,919
1238,躺枪,40
1239,臣nice,1
1240,优雅,1669
1241,大小姐,238
1242,霸气,88
1243,侍郎,43
1244,重新,442
1245,绝对,1221
1246,领域,43
1247,前方,5376
1248,等待,83
1249,ずっ,2
1250,希望,19
1251,般的,114
1252,存在,768
1253,提供,87
1254,超级,478
1255,经典,511
1256,瞬间,631
1257,泪奔,14
1258,服装,125
1259,得出,45
1260,男仆,12
1261,永远,1352
1262,预警,777
1263,各位,651
1264,土豪,102
1265,承包商,93
1266,彩虹糖,18
1267,企业,75
1268,扫地,11
1269,飘柔,24
1270,自信,402
1271,士狼,56
1272,自觉,84
1273,兵器库,1
1274,注册,6
1275,系统,233
1276,来自,472
1277,半人马,1
1278,星座,6
1279,摄影,50
1280,爱好者,16
1281,基本,212
1282,土狼,73
1283,序章,26
1284,之后,32
1285,重置,95
1286,加到,9
1287,对不起,452
1288,重温,1
1289,kokodayo,1200
1290,游戏版,2
1291,腹黑,241
1292,吐槽,1407
1293,2333,515
1294,刚才,492
1295,明明,779
1296,居然,1485
1297,凛好,41
1298,身手,57
1299,00,79
1300,笑脸,35
1301,打工,49
1302,迷之,22
1303,沉默,196
1304,动态,4
1305,分辨率,5
1306,随时,64
1307,决定,358
1308,金皮卡,70
1309,吾辈,353
1310,何以,18
1311,温柔,2339
1312,鱼塘,11
1313,突然,2941
1314,意识,619
